Urls,Authors,Titles,Reviews,Votes,Average_rating,Number_of_Rated_people
https://www.goodreads.com/book/show/52382796-sh-gun,James Clavell,Shōgun,69823,855,4.39,159378
https://www.goodreads.com/book/show/375013.Schindler_s_List,Thomas Keneally,Schindler's List,68946,907,4.31,156730
https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close,Jonathan Safran Foer,Extremely Loud & Incredibly Close,68699,786,3.96,405236
https://www.goodreads.com/book/show/7736182-the-lost-hero,Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",68447,824,4.31,720213
https://www.goodreads.com/book/show/6149.Beloved,Toni Morrison,Beloved,68290,847,3.9,364616
https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl,Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",67755,832,4.07,477534
https://www.goodreads.com/book/show/6527740-last-sacrifice,Richelle Mead,"Last Sacrifice (Vampire Academy, #6)",66778,785,4.36,276623
https://www.goodreads.com/book/show/7332.The_Silmarillion,J.R.R. Tolkien,The Silmarillion,66387,802,3.95,244253
https://www.goodreads.com/book/show/6487308-fallen,Lauren Kate,"Fallen (Fallen, #1)",66320,768,3.72,547265
https://www.goodreads.com/book/show/514811.The_Secret_Magdalene,Ki Longfellow,The Secret Magdalene,65771,675,4.11,4673
https://www.goodreads.com/book/show/17690.The_Trial,Franz Kafka,The Trial,65657,804,3.95,266773
https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit,Margery Williams Bianco,The Velveteen Rabbit,65275,873,4.26,243803
https://www.goodreads.com/book/show/10025305-clockwork-prince,Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)",64768,764,4.41,505404
https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,John Kennedy Toole,A Confederacy of Dunces,64593,745,3.88,249859
https://www.goodreads.com/book/show/1375.The_Iliad_The_Odyssey,Homer,The Iliad/The Odyssey,63977,843,4.05,67992
https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,Ernest Hemingway,The Sun Also Rises,63611,811,3.81,389701
