iter	RMSE
0	0.8980441707
1	0.8536648806
2	0.8369116243
3	0.8287217958
4	0.8243486255
5	0.8219111353
6	0.8200638605
7	0.8190431532
8	0.8178496682
9	0.8168944976
10	0.8158674531
11	0.8148373832
12	0.8138710854
13	0.8127709773
14	0.8122629734
15	0.8118789439
16	0.8113141186
17	0.8109341365
18	0.8104853915
19	0.8096302539
20	0.8089625945
21	0.8082260745
22	0.8076195802
23	0.8071568003
24	0.8066150165
25	0.8057822706
26	0.8049284355
27	0.8038443336
28	0.8026251697
29	0.8019797208
30	0.8009515961
31	0.8001980055
32	0.7991237111
33	0.7980044788
34	0.7967250777
35	0.7959659524
36	0.7952956383
37	0.793903509
38	0.7931662388
39	0.792286228
40	0.7913271885
41	0.790192786
42	0.7891640898
43	0.7882580752
44	0.7876131517
45	0.7867984108
46	0.7861689046
47	0.7851234645
48	0.784451055
49	0.7832822699
50	0.7818469332
51	0.781291194
52	0.7806412743
53	0.7796157608
54	0.7784097829
55	0.7777356889
56	0.7771045969
57	0.7767771501
58	0.7758879236
59	0.7752940478
60	0.7742977438
61	0.7733705403
62	0.7726779756
63	0.7718497376
64	0.7706976292
65	0.7700504791
66	0.7684757462
67	0.767713553
68	0.7667969122
69	0.7663029
70	0.7655552312
71	0.7649565291
72	0.7642590407
73	0.7637224962
74	0.7628733477
75	0.7620612174
76	0.7613660146
77	0.7602867917
78	0.7594549492
79	0.75904312
80	0.7586607304
81	0.7582663263
82	0.7574579919
83	0.7568997071
84	0.756301312
85	0.7557792334
86	0.7550552426
87	0.7542878224
88	0.753652229
89	0.7529468588
90	0.7522248533
91	0.7518469148
92	0.7513610092
93	0.750832554
94	0.7502159715
95	0.7496647374
96	0.7489737689
97	0.7482493059
98	0.7478277127
99	0.7472998647
